AVCamBarcode,https://developer.apple.com/library/content/samplecode/AVCamBarcode/Listings/../Introduction/Intro.html,AVCamBarcode: Using AVFoundation to Detect Barcodes and Faces,"Sep 19, 2017"
AVCamPhotoFilter,https://developer.apple.com/library/content/samplecode/AVCamPhotoFilter/Listings/../Introduction/Intro.html,AVCamPhotoFilter: Using AVFoundation to Capture photos with image processing,"Sep 19, 2017"
AVCustomEdit,https://developer.apple.com/library/content/samplecode/AVCustomEdit/Listings/../Introduction/Intro.html,AVCustomEdit,"Aug 17, 2017"
avloopplayer,https://developer.apple.com/library/content/samplecode/avloopplayer/Listings/../Introduction/Intro.html,AVFoundation Looping Player: Using AVQueuePlayer and AVPlayerLooper to demonstra ...,"Sep 13, 2016"
avexporter,https://developer.apple.com/library/content/samplecode/avexporter/Listings/../Introduction/Intro.html,AVFoundationExporter: Exporting and Transcoding Movies,"Sep 13, 2016"
AVFoundationSimplePlayer-iOS,https://developer.apple.com/library/content/samplecode/AVFoundationSimplePlayer-iOS/Listings/../Introduction/Intro.html,AVFoundationSimplePlayer-iOS: Using AVFoundation to Play Media,"Sep 13, 2016"
ReaderWriter,https://developer.apple.com/library/content/samplecode/ReaderWriter/Listings/../Introduction/Intro.html,AVReaderWriter: Offline Audio / Video Processing,"Sep 13, 2016"
AccessibilityUIExamples,https://developer.apple.com/library/content/samplecode/AccessibilityUIExamples/Listings/../Introduction/Intro.html,AccessibilityUIExamples,"Sep 12, 2017"
AdaptiveElements,https://developer.apple.com/library/content/samplecode/AdaptiveElements/Listings/../Introduction/Intro.html,AdaptiveElements: Implementing Your Own Adaptive Design with UIKit,"Sep 13, 2016"
AdoptingMetalII,https://developer.apple.com/library/content/samplecode/AdoptingMetalII/Listings/../Introduction/Intro.html,Adopting Metal II: Designing and Implementing a Real-World Metal Renderer,"Sep 13, 2016"
AppChat,https://developer.apple.com/library/content/samplecode/AppChat/Listings/../Introduction/Intro.html,AppChat: Using Peek and Pop APIs,"Oct 27, 2016"
ApplicationShortcuts,https://developer.apple.com/library/content/samplecode/ApplicationShortcuts/Listings/../Introduction/Intro.html,ApplicationShortcuts: Using UIApplicationShortcutItems,"Dec 14, 2017"
AudioInARKit,https://developer.apple.com/library/content/samplecode/AudioInARKit/Listings/../Introduction/Intro.html,Audio in ARKit,"Mar 08, 2018"
AudioUnitV3Example,https://developer.apple.com/library/content/samplecode/AudioUnitV3Example/Listings/../Introduction/Intro.html,AudioUnitV3Example: A Basic AudioUnit Extension and Host Implementation,"Jun 06, 2017"
CFHostSample,https://developer.apple.com/library/content/samplecode/CFHostSample/Listings/../Introduction/Intro.html,CFHostSample,"Mar 14, 2017"
DemoBots,https://developer.apple.com/library/content/samplecode/DemoBots/Listings/../Introduction/Intro.html,DemoBots: Building a Cross Platform Game with SpriteKit and GameplayKit,"Sep 13, 2016"
